target,mode,train_persona,train_size,layer,eval_persona,cohen_d,auc,n_pos,n_neg
harm,mixed_persona,mixed4,3560,46,pathological_liar,5.402331129524827,0.999328,250,250
harm,mixed_persona,mixed4,3560,46,Aura,3.102215232558927,0.991024,250,250
harm,mixed_persona,mixed4,3560,46,mathematician,3.750118354539079,0.9945120000000001,250,250
harm,mixed_persona,mixed4,3560,46,neutral_long,3.6401162210881983,0.991776,250,250
harm,mixed_persona,mixed4,3560,53,default,4.560599930783735,0.999776,250,250
harm,mixed_persona,mixed4,3560,53,helpful_assistant,4.56621735752673,0.9985120000000001,250,250
harm,mixed_persona,mixed4,3560,53,sadist,5.15295212595208,0.998864,250,250
harm,mixed_persona,mixed4,3560,53,villain,5.284968835797314,0.9995839999999999,250,250
harm,mixed_persona,mixed4,3560,53,pathological_liar,5.493049826645418,0.9994559999999999,250,250
harm,mixed_persona,mixed4,3560,53,Aura,2.560131872327639,0.9640479999999999,250,250
harm,mixed_persona,mixed4,3560,53,mathematician,3.632147507867765,0.9952160000000001,250,250
harm,mixed_persona,mixed4,3560,53,neutral_long,3.790883159832241,0.994192,250,250
harm,cross_persona,default,3560,25,default,6.606932324349687,0.999856,250,250
harm,cross_persona,default,3560,25,helpful_assistant,5.564277857632738,0.999872,250,250
harm,cross_persona,default,3560,25,sadist,2.4816055497127776,0.962384,250,250
harm,cross_persona,default,3560,25,villain,2.6311667628160054,0.972704,250,250
harm,cross_persona,default,3560,25,pathological_liar,2.540920885647605,0.970384,250,250
harm,cross_persona,default,3560,25,Aura,2.4105901026441074,0.9575680000000001,250,250
harm,cross_persona,default,3560,25,mathematician,3.025854918489612,0.98312,250,250
harm,cross_persona,default,3560,25,neutral_long,3.3454767105760475,0.991168,250,250
harm,cross_persona,default,3560,32,default,7.2046365232651945,0.999872,250,250
harm,cross_persona,default,3560,32,helpful_assistant,6.939073603603496,0.999968,250,250
harm,cross_persona,default,3560,32,sadist,1.9962390840871929,0.9276,250,250
harm,cross_persona,default,3560,32,villain,3.2665679338401294,0.985808,250,250
harm,cross_persona,default,3560,32,pathological_liar,2.0660494419586817,0.928496,250,250
harm,cross_persona,default,3560,32,Aura,1.9704783438053677,0.9322079999999999,250,250
harm,cross_persona,default,3560,32,mathematician,2.064882707699314,0.924208,250,250
harm,cross_persona,default,3560,32,neutral_long,2.8406677372861635,0.982832,250,250
harm,cross_persona,default,3560,39,default,7.025694112716666,0.9999359999999999,250,250
harm,cross_persona,default,3560,39,helpful_assistant,6.121987705245334,0.9997119999999999,250,250
harm,cross_persona,default,3560,39,sadist,1.356374081378452,0.8299040000000001,250,250
harm,cross_persona,default,3560,39,villain,2.2086970446809073,0.941408,250,250
harm,cross_persona,default,3560,39,pathological_liar,2.5382087184621867,0.95536,250,250
harm,cross_persona,default,3560,39,Aura,2.7016594720283322,0.960112,250,250
harm,cross_persona,default,3560,39,mathematician,3.3234935163941857,0.98744,250,250
harm,cross_persona,default,3560,39,neutral_long,3.3215711907357277,0.982368,250,250
harm,cross_persona,default,3560,46,default,7.2903300442992185,1.0,250,250
harm,cross_persona,default,3560,46,helpful_assistant,5.707129771656811,0.999872,250,250
harm,cross_persona,default,3560,46,sadist,2.631471295090995,0.968016,250,250
harm,cross_persona,default,3560,46,villain,2.783131160251015,0.9786400000000001,250,250
harm,cross_persona,default,3560,46,pathological_liar,2.789920820376907,0.973392,250,250
harm,cross_persona,default,3560,46,Aura,2.0517642277516517,0.9270079999999999,250,250
harm,cross_persona,default,3560,46,mathematician,3.466060708252193,0.992192,250,250
harm,cross_persona,default,3560,46,neutral_long,3.6216117716212404,0.989312,250,250
harm,cross_persona,default,3560,53,default,6.360585782344708,0.999984,250,250
harm,cross_persona,default,3560,53,helpful_assistant,5.175903581737495,0.9993759999999999,250,250
harm,cross_persona,default,3560,53,sadist,1.6794008411254473,0.8806560000000001,250,250
harm,cross_persona,default,3560,53,villain,2.1295637219513606,0.9380959999999999,250,250
harm,cross_persona,default,3560,53,pathological_liar,2.1747283391468084,0.9445600000000001,250,250
harm,cross_persona,default,3560,53,Aura,1.8818721627717538,0.910848,250,250
harm,cross_persona,default,3560,53,mathematician,2.352887927274492,0.9473280000000001,250,250
harm,cross_persona,default,3560,53,neutral_long,3.1300829915114248,0.98384,250,250
harm,cross_persona,pathological_liar,3560,25,default,3.021898249759026,0.981552,250,250
harm,cross_persona,pathological_liar,3560,25,helpful_assistant,3.403743227711677,0.9894400000000001,250,250
harm,cross_persona,pathological_liar,3560,25,sadist,4.053490785481898,0.993968,250,250
harm,cross_persona,pathological_liar,3560,25,villain,4.268089821729715,0.99856,250,250
harm,cross_persona,pathological_liar,3560,25,pathological_liar,6.495336631724036,0.999904,250,250
harm,cross_persona,pathological_liar,3560,25,Aura,3.4231829422690034,0.9901760000000001,250,250
harm,cross_persona,pathological_liar,3560,25,mathematician,4.134696471234526,0.996688,250,250
harm,cross_persona,pathological_liar,3560,25,neutral_long,4.528278312950486,0.9973759999999999,250,250
harm,cross_persona,pathological_liar,3560,32,default,1.821750651327407,0.902848,250,250
harm,cross_persona,pathological_liar,3560,32,helpful_assistant,3.1633537285468893,0.984256,250,250
harm,cross_persona,pathological_liar,3560,32,sadist,3.420281706651419,0.9932799999999999,250,250
harm,cross_persona,pathological_liar,3560,32,villain,4.647884301550354,0.9994879999999999,250,250
harm,cross_persona,pathological_liar,3560,32,pathological_liar,6.270595426815006,0.999808,250,250
harm,cross_persona,pathological_liar,3560,32,Aura,3.0925687239173327,0.9849920000000001,250,250
harm,cross_persona,pathological_liar,3560,32,mathematician,3.816709105980641,0.995312,250,250
harm,cross_persona,pathological_liar,3560,32,neutral_long,3.2631229444300316,0.987552,250,250
harm,cross_persona,pathological_liar,3560,39,default,2.391948486984525,0.948624,250,250
harm,cross_persona,pathological_liar,3560,39,helpful_assistant,2.4048609996687453,0.95648,250,250
harm,cross_persona,pathological_liar,3560,39,sadist,2.0364922410611372,0.9330080000000001,250,250
