condition,checkpoint,n,pearson_r,probe_mean,probe_std,behav_mean,behav_std
qwen_delusion,0,31,0.25384106592488664,-1.6620768616276402,2.8985552291919894,0.5903225806451613,0.486041725718878
qwen_delusion,2,31,0.5651910560510826,-0.0984156814313704,2.4484822853651713,0.7403225806451614,0.3585664408071652
qwen_delusion,4,31,0.5932245291694066,0.058066787258271246,1.9398264428261462,0.7048387096774194,0.3123445850098033
qwen_delusion,6,31,0.6194058083510591,-0.036589309092490904,2.318500428504554,0.6645161290322581,0.38690945288424106
qwen_delusion,8,31,0.6821064668362068,0.5106525603801974,2.242948999212689,0.8370967741935483,0.3135728894360087
qwen_delusion,10,31,0.4286044306053575,0.34534872924127885,2.1038167529653866,0.8096774193548387,0.31102501368826424
qwen_delusion,12,31,0.36731757804852544,0.14034144916842062,1.9278912735531195,0.7258064516129032,0.38381223007740295
qwen_delusion,14,31,0.571805878087864,-0.09746189655796174,2.107280571355817,0.6774193548387096,0.3989232820308141
qwen_delusion,16,31,0.4662213353707005,0.45482371507152436,2.7507542121595785,0.6612903225806451,0.3262692337674912
qwen_delusion,18,31,0.5898134546491548,-0.35924608572836847,2.5493729991525806,0.7419354838709677,0.3621916560316164
qwen_delusion,20,31,0.4783683121261395,-0.223428774264551,2.6715003401574924,0.7258064516129032,0.3614486980061245
qwen_delusion,22,31,0.3209970518407838,-0.6850471419672812,2.156947630891094,0.7419354838709677,0.3621916560316164
qwen_delusion,24,31,0.26914643463358356,-0.016644903729038853,1.8739106773141736,0.7580645161290323,0.3384023183021329
qwen_delusion,26,31,0.35389307250818935,-0.2676273920843678,2.0168578855024406,0.7903225806451613,0.35995818156157844
qwen_delusion,28,31,-0.04168668802843661,0.423898144114402,1.6840793953299231,0.8225806451612904,0.3303631107527542
qwen_delusion,30,31,-0.09566202912903742,0.23586823478821786,1.6769311657109331,0.7741935483870968,0.3614486980061245
qwen_delusion,32,31,0.05741530783584372,-0.37869599365418954,1.7024449566457962,0.8709677419354839,0.31537654572177337
qwen_delusion,34,31,0.007341816652120028,-0.947341913177121,1.5164790726555955,0.8064516129032258,0.3336020422309269
qwen_delusion,36,31,0.02603555617898448,-1.0587530982109807,1.4952772293958099,0.8709677419354839,0.3153765457217733
qwen_delusion,38,31,-0.06753333400980532,-1.3452672766100975,1.5535720420384072,0.8387096774193549,0.3262692337674912
qwen_delusion,40,31,-0.08442090690764886,-1.0363276966156498,1.6280726523191846,0.8548387096774194,0.32128773156099955
qwen_delusion,42,31,-0.07270593714614766,-1.5196061788066741,1.4161783472194405,0.8387096774193549,0.35088214484338254
qwen_delusion,44,31,-0.071876001933419,-1.0360627712741974,1.6114451469663114,0.8387096774193549,0.3262692337674912
qwen_delusion,46,31,-0.04937788010432452,-0.33723938080572313,1.611818274234152,0.8548387096774194,0.34625492504552136
