condition,checkpoint,prompt_type,probe_mean,probe_std,behav_mean,behav_std,n
qwen_delusion,8,pair,1.8371628721555073,1.0737685995752897,1.0,0.0,3
qwen_delusion,8,pair_synth,1.2805157437920571,0.9756200840901265,0.95,0.223606797749979,20
qwen_delusion,8,yesno,-2.918005347251892,1.967824942781551,0.5,0.3535533905932738,5
qwen_delusion,10,open,-0.1295837163925171,4.040860235692539,0.5333333333333333,0.24664414311581234,3
qwen_delusion,10,pair,1.5177199641863506,0.9502954070576939,1.0,0.0,3
qwen_delusion,10,pair_synth,1.0232133626937867,1.0334769973675566,0.875,0.2750598021100904,20
qwen_delusion,10,yesno,-2.7845730781555176,1.9398837378037608,0.6,0.4183300132670378,5
qwen_delusion,12,open,,,,,0
qwen_delusion,12,pair,0.8074954549471537,0.5157174455727335,1.0,0.0,3
qwen_delusion,12,pair_synth,0.840282279253006,0.9330606722694105,0.85,0.2350811729908136,20
qwen_delusion,12,yesno,-2.7431931018829347,1.9051053088028558,0.5,0.5,5
qwen_delusion,14,open,,,,,0
qwen_delusion,14,pair,0.7461641530195872,0.3281154896462771,0.8333333333333334,0.28867513459481287,3
qwen_delusion,14,pair_synth,0.7354998782277107,0.934571568243464,0.85,0.2350811729908136,20
qwen_delusion,14,yesno,-3.347470211982727,1.8511962296534528,0.3,0.4472135954999579,5
qwen_delusion,16,open,,,,,0
qwen_delusion,16,pair,1.7013882001241047,0.5982266400521792,1.0,0.0,3
qwen_delusion,16,pair_synth,1.7194526255130769,0.952727077140289,0.75,0.2564945880212885,20
qwen_delusion,16,yesno,-4.471839380264282,0.9967223297986487,0.5,0.0,5
qwen_delusion,18,open,,,,,0
qwen_delusion,18,pair,1.0932849546273549,0.6743558540988198,0.8333333333333334,0.28867513459481287,3
qwen_delusion,18,pair_synth,0.7361217737197876,0.9449530464385039,0.925,0.18317377426626164,20
qwen_delusion,18,yesno,-4.632713699340821,1.5284840183292259,0.4,0.22360679774997896,5
qwen_delusion,20,open,,,,,0
